Coleta,Job_id,Situação,Observação
Farm A,267,Suited,Percebe-se uma clara mudança de cor na imagem RGB. Teria sido alguma nuvem?
Farm A,268,Fail,
Farm A,269,Fail,
Farm A,270,Suited,
Farm A,271,Suited,
Farm A,272,Suited,Percebe-se uma clara mudança de cor na imagem RGB. Teria sido alguma nuvem?
Farm A,273,Suited,Tela balança muito
Farm A,274,Jumping,O animal pulo no final do corredor
Farm A,275,Jumping,"Aparentemente, nenhum frame em que ele está rente ao chão"
Farm A,276,Jumping,"Aparentemente, nenhum frame em que ele está rente ao chão"
Farm A,277,Suited,
Farm A,278,Suited,
Farm A,279,Jumping,O animal pulo no final do corredor
Farm A,280,Suited,
Farm A,281,None,Animal pula na tela e tenta sair do corredor
Farm A,282,Suited,Animal dá uma corrida no final do corredo
Farm A,283,Suited,
Farm A,284,Fail,
Farm A,285,Fail,
Farm A,286,Fail,
Farm A,287,Fail,
Farm A,288,Fail,
Farm A,289,Fail,
Farm A,290,Fail,
Farm A,291,Fail,
Farm A,292,Fail,
Farm A,293,Suited,
Farm A,294,Suited,
Farm A,295,Suited,
Farm A,296,Suited,
Farm A,297,Suited,Leva um susto no final do corredor e muda de direção lateralmente de forma muito rápida
Farm A,298,Suited,
Farm A,299,Jumping,"Aparentemente, nenhum frame em que ele está rente ao chão"
